"station_id","obsTime","ELEV","WDIR","WDSD","TEMP","HUMD","PRES","SUN","H_24R","H_FX","H_XD","H_FXT","D_TX","D_TXT","D_TN","D_TNT"
"C0V820","2019-08-27 00:00:00","441.000","198.000","0.700","23.800","0.990","964.300","-99.000","4.500","-99.000","-99.000","-99.000","31.500","","21.600",""
"C0K490","2019-08-27 00:00:00","91.000","117.000","0.500","26.400","0.900","1000.000","-99.000","1.500","-99.000","-99.000","-99.000","33.100","","24.300",""
"C0SA20","2019-08-27 00:00:00","857.000","336.000","1.800","21.400","1.000","918.600","-99.000","0.500","-99.000","-99.000","-99.000","25.700","","21.300",""
"CM0140","2019-08-27 00:00:00","26.000","74.000","0.400","27.600","0.770","1010.000","-99.000","0.500","-99.000","-99.000","-99.000","30.700","","26.000",""
"C0AC80","2019-08-27 00:00:00","40.000","84.000","0.500","26.900","0.820","1006.300","-99.000","0.000","-99.000","-99.000","-99.000","33.300","","24.900",""
"C0M810","2019-08-27 00:00:00","1354.000","176.000","0.800","19.400","0.990","866.500","-99.000","0.000","-99.000","-99.000","-99.000","23.300","","18.700",""
"C0I360","2019-08-27 00:00:00","300.000","103.000","0.700","26.500","0.870","976.600","-99.000","0.000","-99.000","-99.000","-99.000","31.800","","24.000",""
"C0C620","2019-08-27 00:00:00","19.000","141.000","0.500","26.000","0.940","1007.200","-99.000","0.000","-99.000","-99.000","-99.000","32.700","","25.400",""
"C0G790","2019-08-27 00:00:00","27.000","0.000","0.000","27.200","0.980","1009.600","-99.000","0.000","-99.000","-99.000","-99.000","34.300","","25.900",""
"C0M850","2019-08-27 00:00:00","695.000","78.000","0.600","22.700","0.990","934.100","-99.000","2.500","-99.000","-99.000","-99.000","30.000","","20.400",""
"C0UA20","2019-08-27 00:00:00","2619.000","201.000","2.400","11.100","0.860","-99.000","-99.000","0.000","-99.000","-99.000","-99.000","18.400","","10.700",""
"C0F9V0","2019-08-27 00:00:00","525.000","174.000","1.200","25.200","0.920","954.700","-99.000","0.000","-99.000","-99.000","-99.000","30.500","","23.400",""
"C0T900","2019-08-27 00:00:00","160.000","0.000","0.100","24.600","0.910","992.900","-99.000","0.500","-99.000","-99.000","-99.000","32.300","","23.400",""
"C0K440","2019-08-27 00:00:00","35.000","105.000","0.600","28.100","0.870","1006.800","-99.000","0.000","-99.000","-99.000","-99.000","32.300","","25.400",""
"C0Z250","2019-08-27 00:00:00","1124.000","208.000","0.300","19.900","0.990","891.400","-99.000","0.000","-99.000","-99.000","-99.000","27.600","","19.400",""
"C0G860","2019-08-27 00:00:00","45.000","95.000","0.300","27.700","0.910","1004.200","-99.000","13.000","-99.000","-99.000","-99.000","33.400","","26.100",""
"C0V790","2019-08-27 00:00:00","410.000","85.000","0.400","24.400","0.970","964.900","-99.000","0.000","-99.000","-99.000","-99.000","31.700","","21.900",""
"C0V740","2019-08-27 00:00:00","60.000","352.000","0.400","26.500","0.970","1004.900","-99.000","0.000","-99.000","-99.000","-99.000","33.100","","24.400",""
"C0Z200","2019-08-27 00:00:00","153.000","326.000","0.300","25.100","0.990","996.100","-99.000","0.000","-99.000","-99.000","-99.000","31.900","","23.000",""
"C0K520","2019-08-27 00:00:00","10.000","124.000","0.800","27.700","0.930","1008.500","-99.000","0.000","-99.000","-99.000","-99.000","31.400","","26.300",""
"C0X250","2019-08-27 00:00:00","33.000","17.000","0.500","27.700","0.980","1007.000","-99.000","3.500","-99.000","-99.000","-99.000","32.600","","26.500",""
"C0S940","2019-08-27 00:00:00","150.000","330.000","0.700","26.000","0.890","995.200","-99.000","0.000","-99.000","-99.000","-99.000","33.500","","24.800",""
"CM0110","2019-08-27 00:00:00","7.000","190.000","0.300","28.000","0.830","1009.900","-99.000","0.000","-99.000","-99.000","-99.000","32.000","","26.400",""
"C0A970","2019-08-27 00:00:00","96.000","167.000","7.300","26.200","0.990","1001.400","-99.000","0.500","-99.000","-99.000","-99.000","29.500","","25.300",""
"C0M700","2019-08-27 00:00:00","150.000","79.000","1.600","25.100","0.980","994.600","-99.000","4.500","-99.000","-99.000","-99.000","32.500","","23.600",""
"C0U990","2019-08-27 00:00:00","31.000","6.000","1.600","27.500","0.880","1009.300","-99.000","0.000","-99.000","-99.000","-99.000","31.700","","25.900",""
"C0D590","2019-08-27 00:00:00","143.000","0.000","0.200","26.100","0.980","995.600","-99.000","1.000","-99.000","-99.000","-99.000","32.000","","24.700",""
"C0S790","2019-08-27 00:00:00","236.000","7.000","0.900","24.400","0.970","986.900","-99.000","0.000","-99.000","-99.000","-99.000","33.500","","23.400",""
"C0A570","2019-08-27 00:00:00","360.000","227.000","0.900","23.300","0.970","971.900","-99.000","1.500","-99.000","-99.000","-99.000","31.600","","22.800",""
"C0M800","2019-08-27 00:00:00","440.000","98.000","0.500","24.100","0.950","962.800","-99.000","1.000","-99.000","-99.000","-99.000","30.600","","21.500",""
"C0E870","2019-08-27 00:00:00","34.000","86.000","0.600","26.500","0.970","1008.100","-99.000","2.000","-99.000","-99.000","-99.000","33.300","","25.000",""
"C0V490","2019-08-27 00:00:00","20.000","0.000","0.000","29.100","0.760","1008.600","-99.000","0.000","-99.000","-99.000","-99.000","31.900","","28.000",""
"C0M710","2019-08-27 00:00:00","15.000","0.000","0.200","28.000","0.900","1009.100","-99.000","0.000","-99.000","-99.000","-99.000","31.600","","26.300",""
"C0D570","2019-08-27 00:00:00","15.000","0.000","0.000","27.100","0.960","1009.100","-99.000","0.000","-99.000","-99.000","-99.000","32.500","","24.600",""
"C0S910","2019-08-27 00:00:00","212.000","114.000","2.400","26.500","0.940","988.800","-99.000","0.000","-99.000","-99.000","-99.000","30.400","","26.200",""
"C0O830","2019-08-27 00:00:00","127.000","91.000","0.600","25.600","1.000","997.100","-99.000","0.000","-99.000","-99.000","-99.000","33.200","","24.000",""
"C0A9A0","2019-08-27 00:00:00","24.000","109.000","2.000","29.000","0.730","1008.300","-99.000","0.000","-99.000","-99.000","-99.000","33.400","","27.000",""
